species,id,clutch,replicate,uvbr,temperature,malformation
Boana_platanera,1,BP_C1,BP_R1,0,23,0
Boana_platanera,2,BP_C1,BP_R1,0,23,0
Boana_platanera,3,BP_C1,BP_R1,0,23,0
Boana_platanera,4,BP_C1,BP_R1,0,23,0
Boana_platanera,5,BP_C1,BP_R1,0,23,0
Boana_platanera,6,BP_C1,BP_R1,0,23,0
Boana_platanera,7,BP_C1,BP_R1,0,23,0
Boana_platanera,8,BP_C1,BP_R1,0,23,0
Boana_platanera,9,BP_C1,BP_R1,0,23,0
Boana_platanera,10,BP_C1,BP_R1,0,23,0
Boana_platanera,11,BP_C1,BP_R1,0,23,0
Boana_platanera,12,BP_C1,BP_R1,0,23,0
Boana_platanera,13,BP_C1,BP_R1,0,23,0
Boana_platanera,14,BP_C1,BP_R1,0,23,0
Boana_platanera,15,BP_C1,BP_R1,0,23,0
Boana_platanera,16,BP_C1,BP_R1,0,23,0
Boana_platanera,17,BP_C1,BP_R1,0,23,0
Boana_platanera,18,BP_C1,BP_R1,0,23,0
Boana_platanera,19,BP_C1,BP_R1,0,23,0
Boana_platanera,20,BP_C1,BP_R1,0,23,0
Boana_platanera,21,BP_C1,BP_R1,0,23,0
Boana_platanera,22,BP_C1,BP_R1,0,23,0
Boana_platanera,23,BP_C1,BP_R1,0,23,0
Boana_platanera,24,BP_C1,BP_R1,0,23,0
Boana_platanera,25,BP_C1,BP_R1,0,23,0
Boana_platanera,1,BP_C1,BP_R1,25,23,0
Boana_platanera,2,BP_C1,BP_R1,25,23,0
Boana_platanera,3,BP_C1,BP_R1,25,23,0
Boana_platanera,4,BP_C1,BP_R1,25,23,0
Boana_platanera,5,BP_C1,BP_R1,25,23,0
Boana_platanera,6,BP_C1,BP_R1,25,23,0
Boana_platanera,7,BP_C1,BP_R1,25,23,0
Boana_platanera,8,BP_C1,BP_R1,25,23,0
Boana_platanera,9,BP_C1,BP_R1,25,23,0
Boana_platanera,10,BP_C1,BP_R1,25,23,0
Boana_platanera,11,BP_C1,BP_R1,25,23,0
Boana_platanera,12,BP_C1,BP_R1,25,23,0
Boana_platanera,13,BP_C1,BP_R1,25,23,0
Boana_platanera,14,BP_C1,BP_R1,25,23,0
Boana_platanera,15,BP_C1,BP_R1,25,23,0
Boana_platanera,16,BP_C1,BP_R1,25,23,0
Boana_platanera,17,BP_C1,BP_R1,25,23,0
Boana_platanera,18,BP_C1,BP_R1,25,23,0
Boana_platanera,19,BP_C1,BP_R1,25,23,0
Boana_platanera,20,BP_C1,BP_R1,25,23,0
Boana_platanera,21,BP_C1,BP_R1,25,23,0
Boana_platanera,22,BP_C1,BP_R1,25,23,0
Boana_platanera,23,BP_C1,BP_R1,25,23,0
Boana_platanera,24,BP_C1,BP_R1,25,23,1
Boana_platanera,25,BP_C1,BP_R1,25,23,1
Boana_platanera,1,BP_C1,BP_R1,50,23,0
Boana_platanera,2,BP_C1,BP_R1,50,23,0
Boana_platanera,3,BP_C1,BP_R1,50,23,0
Boana_platanera,4,BP_C1,BP_R1,50,23,0
Boana_platanera,5,BP_C1,BP_R1,50,23,0
Boana_platanera,6,BP_C1,BP_R1,50,23,0
Boana_platanera,7,BP_C1,BP_R1,50,23,0
Boana_platanera,8,BP_C1,BP_R1,50,23,0
Boana_platanera,9,BP_C1,BP_R1,50,23,0
Boana_platanera,10,BP_C1,BP_R1,50,23,0
Boana_platanera,11,BP_C1,BP_R1,50,23,0
Boana_platanera,12,BP_C1,BP_R1,50,23,0
Boana_platanera,13,BP_C1,BP_R1,50,23,0
Boana_platanera,14,BP_C1,BP_R1,50,23,0
Boana_platanera,15,BP_C1,BP_R1,50,23,0
Boana_platanera,16,BP_C1,BP_R1,50,23,0
Boana_platanera,17,BP_C1,BP_R1,50,23,0
Boana_platanera,18,BP_C1,BP_R1,50,23,1
Boana_platanera,19,BP_C1,BP_R1,50,23,1
Boana_platanera,20,BP_C1,BP_R1,50,23,1
Boana_platanera,21,BP_C1,BP_R1,50,23,1
Boana_platanera,22,BP_C1,BP_R1,50,23,1
Boana_platanera,23,BP_C1,BP_R1,50,23,1
Boana_platanera,1,BP_C1,BP_R1,0,28,0
Boana_platanera,2,BP_C1,BP_R1,0,28,0
Boana_platanera,3,BP_C1,BP_R1,0,28,0
Boana_platanera,4,BP_C1,BP_R1,0,28,0
Boana_platanera,5,BP_C1,BP_R1,0,28,0
Boana_platanera,6,BP_C1,BP_R1,0,28,0
Boana_platanera,7,BP_C1,BP_R1,0,28,0
Boana_platanera,8,BP_C1,BP_R1,0,28,0
Boana_platanera,9,BP_C1,BP_R1,0,28,0
Boana_platanera,10,BP_C1,BP_R1,0,28,0
Boana_platanera,11,BP_C1,BP_R1,0,28,0
Boana_platanera,12,BP_C1,BP_R1,0,28,0
Boana_platanera,13,BP_C1,BP_R1,0,28,0
Boana_platanera,14,BP_C1,BP_R1,0,28,0
Boana_platanera,15,BP_C1,BP_R1,0,28,0
Boana_platanera,16,BP_C1,BP_R1,0,28,0
Boana_platanera,17,BP_C1,BP_R1,0,28,0
Boana_platanera,18,BP_C1,BP_R1,0,28,0
Boana_platanera,19,BP_C1,BP_R1,0,28,0
Boana_platanera,20,BP_C1,BP_R1,0,28,0
Boana_platanera,21,BP_C1,BP_R1,0,28,0
Boana_platanera,22,BP_C1,BP_R1,0,28,0
Boana_platanera,23,BP_C1,BP_R1,0,28,0
Boana_platanera,24,BP_C1,BP_R1,0,28,0
Boana_platanera,25,BP_C1,BP_R1,0,28,0
Boana_platanera,1,BP_C1,BP_R1,25,28,0
Boana_platanera,2,BP_C1,BP_R1,25,28,0
Boana_platanera,3,BP_C1,BP_R1,25,28,0
Boana_platanera,4,BP_C1,BP_R1,25,28,0
Boana_platanera,5,BP_C1,BP_R1,25,28,0
Boana_platanera,6,BP_C1,BP_R1,25,28,0
Boana_platanera,7,BP_C1,BP_R1,25,28,0
Boana_platanera,8,BP_C1,BP_R1,25,28,0
Boana_platanera,9,BP_C1,BP_R1,25,28,0
Boana_platanera,10,BP_C1,BP_R1,25,28,0
Boana_platanera,11,BP_C1,BP_R1,25,28,0
Boana_platanera,12,BP_C1,BP_R1,25,28,0
Boana_platanera,13,BP_C1,BP_R1,25,28,0
Boana_platanera,14,BP_C1,BP_R1,25,28,0
Boana_platanera,15,BP_C1,BP_R1,25,28,0
Boana_platanera,16,BP_C1,BP_R1,25,28,0
Boana_platanera,17,BP_C1,BP_R1,25,28,0
Boana_platanera,18,BP_C1,BP_R1,25,28,0
Boana_platanera,19,BP_C1,BP_R1,25,28,0
Boana_platanera,20,BP_C1,BP_R1,25,28,0
Boana_platanera,21,BP_C1,BP_R1,25,28,1
Boana_platanera,22,BP_C1,BP_R1,25,28,1
Boana_platanera,23,BP_C1,BP_R1,25,28,1
Boana_platanera,1,BP_C1,BP_R1,50,28,0
Boana_platanera,2,BP_C1,BP_R1,50,28,0
Boana_platanera,3,BP_C1,BP_R1,50,28,0
Boana_platanera,4,BP_C1,BP_R1,50,28,0
Boana_platanera,5,BP_C1,BP_R1,50,28,0
Boana_platanera,6,BP_C1,BP_R1,50,28,0
Boana_platanera,7,BP_C1,BP_R1,50,28,1
Boana_platanera,8,BP_C1,BP_R1,50,28,1
Boana_platanera,9,BP_C1,BP_R1,50,28,1
Boana_platanera,10,BP_C1,BP_R1,50,28,1
Boana_platanera,11,BP_C1,BP_R1,50,28,1
Boana_platanera,12,BP_C1,BP_R1,50,28,1
Boana_platanera,13,BP_C1,BP_R1,50,28,1
Boana_platanera,14,BP_C1,BP_R1,50,28,1
Boana_platanera,15,BP_C1,BP_R1,50,28,1
Boana_platanera,16,BP_C1,BP_R1,50,28,1
Boana_platanera,1,BP_C1,BP_R1,0,33,0
Boana_platanera,2,BP_C1,BP_R1,0,33,0
Boana_platanera,3,BP_C1,BP_R1,0,33,0
Boana_platanera,4,BP_C1,BP_R1,0,33,0
